,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
305,700 g di cavolfiore,700 g di cavolfiore,cavolfiore,700 g,cavolfiore,cavolfiore,101
306,1 spicchio d’ aglio,1 spicchio d’ aglio,,1 spicchio,,,
307,1 cucchiaio di vino bianco,1 cucchiaio di vino bianco,vino bianco,1 cucchiaio,vino bianco,vino bianco,1177
308,½ bicchiere di olio extravergine d’oliva,½ bicchiere di olio extravergine d’oliva,olio extravergine d'oliva,bicchiere,olio extravergine d'oliva,olio extravergine d'oliva,4337
309,100 g di caciocavallo grattugiato,100 g di caciocavallo grattugiato,caciocavallo,100 g,caciocavallo,caciocavallo,87
310,600 gr. di funghi finferli,600 gr. di funghi finferli,funghi finferli,600 gr .,funghi finferli,finferli,21
311,200 gr. di pomodori pelati,200 gr. di pomodori pelati,pomodori pelati,200 gr .,pomodori pelati,pomodori pelati,196
312,20 gr. di burro,20 gr. di burro,burro,20 gr .,burro,burro,4606
313,4 cucchiai d’olio d’oliva,4 cucchiai d’olio d’oliva,olio d'oliva,4 cucchiai,olio d'oliva,olio d'oliva,122
314,320 gr. di riso arborio o vialone nano,320 gr. di riso arborio,riso arborio,320 gr .,riso arborio,riso arborio,37
315,40 gr. di burro,40 gr. di burro,burro,40 gr .,burro,burro,4606
316,brodo vegetale,brodo vegetale,brodo vegetale,,brodo vegetale,brodo vegetale,571
317,tre mele,tre mele,mele,tre,mele,mele,204
318,2 dl di vino bianco,2 dl di vino bianco,vino bianco,2 dl,vino bianco,vino bianco,1177
319,"1,25 l di brodo","1,25 l di brodo",brodo,l,brodo,brodo,215
320,40 gr. grana padano,40 gr. grana padano,grana padano,40 gr .,grana padano,grana padano dop,591
321,1 limone non trattato,1 limone,limone,1,limone,limone,1394
322,"150 g di carne macinata (a piacere di maiale o mista, o misto vitello, manzo, salame)",150 g di carne macinata,carne macinata,150 g,carne macinata,macinato,13
323,100 g di pancetta affumicata,100 g di pancetta affumicata,pancetta affumicata,100 g,pancetta affumicata,pancetta affumicata,155
324,5 uova,5 uova,uova,5,uova,uova,3872
325,80 g di parmigiano reggiano grattugiato,80 g di parmigiano reggiano grattugiato,parmigiano reggiano,80 g,parmigiano reggiano,parmigiano reggiano dop,1291
326,20 g di burro,20 g di burro,burro,20 g,burro,burro,4606
327,700 g di zucchine,700 g di zucchine,zucchine,700 g,zucchine,zucchine,654
328,125 g di mozzarella,125 g di mozzarella,mozzarella,125 g,mozzarella,mozzarella,264
329,30 g di burro,30 g di burro,burro,30 g,burro,burro,4606
330,300 g di filetto di manzo,300 g di filetto di manzo,filetto di manzo,300 g,filetto di manzo,carne di bovino,492
331,1 scalogna,1 scalogna,scalogno,1,scalogno,scalogno,620
332,500 g di cicoria,500 g di cicoria,,,,,
333,5 cucchiai di olio extravergine d’oliva,5 cucchiai di olio extravergine d’oliva,olio extravergine d'oliva,5 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
334,100 g di grana in scaglie,100 g di grana,grana,100 g,grana,grana padano dop,591
335,400 gr di penne rigate,400 gr di penne rigate,penne rigate,400 gr,penne rigate,penne,104
336,800 gr di pomodori maturi,800 gr di pomodori maturi,pomodori,800 gr,pomodori,pomodori,634
337,2 melanzane,2 melanzane,melanzane,2,melanzane,melanzane,295
338,200 gr di ricotta salata,200 gr di ricotta salata,ricotta salata,200 gr,ricotta salata,ricotta salata,36
339,olio etravergine d'oliva,olio etravergine d'oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
340,1 kg di asparagi,1 kg di asparagi,asparagi,1 kg,asparagi,asparagi,192
341,350 g di riso vialone nano,350 g di riso vialone nano,riso vialone nano,350 g,riso vialone nano,riso vialone nano,34
342,4 cucchiai di olio extravergine d'oliva,4 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,4 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
343,60 g di burro,60 g di burro,burro,60 g,burro,burro,4606
344,1 l di brodo vegetale,1 l di brodo vegetale,brodo vegetale,1 l,brodo vegetale,brodo vegetale,571
345,50 g di parmigiano grattugiato,50 g di parmigiano grattugiato,parmigiano,50 g,parmigiano,parmigiano reggiano dop,1291
346,2 chcchiai di passata di pomodoro (facoltativo),2 chcchiai di passata di pomodoro,passata di pomodoro,2 chcchiai,passata di pomodoro,passata di pomodoro,374
347,350 g circa di farina,350 g circa di farina,farina,350 g,farina,farina,2121
348,80 g di zucchero,80 g di zucchero,zucchero,80 g,zucchero,zucchero,4949
349,350 g di miele,350 g di miele,miele,350 g,miele,miele,335
350,1 arancia,1 arancia,arancia,1,arancia,arance,358
351,frutta candita,frutta candita,frutta candita,,frutta candita,frutta candita,33
352,olio di arachidi,olio di arachidi,olio di arachidi,,olio di arachidi,olio di arachide,339
353,4 nodini di vitello,4 nodini di vitello,nodini di vitello,4,nodini di vitello,carne di bovino,492
354,6 spicchi d’aglio,6 spicchi d’aglio,,6 spicchi,,,
355,1 mazzetto di maggiorana,1 mazzetto di maggiorana,maggiorana,1 mazzetto,maggiorana,maggiorana,288
356,1 mazzetto di basilico,1 mazzetto di basilico,basilico,1 mazzetto,basilico,basilico,944
357,5 foglie di mentuccia,5 foglie di mentuccia,mentuccia,5 foglie,mentuccia,menta,533
358,2 acciughe salate,2 acciughe salate,acciughe salate,2,acciughe salate,acciughe,403
359,1 pizzico di senape in polvere,1 pizzico di senape,senape,1 pizzico,senape,senape,236
360,30 ml di aceto di vino bianco,30 ml di aceto di vino bianco,aceto di vino bianco,30 ml,aceto di vino bianco,aceto,528
361,50 ml di olio extravergine d’oliva,50 ml di olio extravergine d’oliva,,50 ml,,,
362,5 limoni,5 limoni,limoni,5,limoni,limone,1394
363,280 gr di farina bianca,280 gr di farina bianca,farina bianca,280 gr,farina bianca,farina 00,1803
364,100 gr di pancetta stufata,100 gr di pancetta stufata,pancetta,100 gr,pancetta,pancetta,245
365,3 spicchi d'aglio,3 spicchi d'aglio,aglio,3 spicchi,aglio,aglio,2572
366,400 gr di funghi freschi,400 gr di funghi freschi,funghi,400 gr,funghi,funghi,48
367,1 peperoncino,1 peperoncino,peperoncino,1,peperoncino,peperoncino,468
368,1 tartufo nero piccolo,1 tartufo nero piccolo,tartufo nero,1,tartufo nero,tartufo nero,44
369,2 cucchiai di pecorino grattugiato,2 cucchiai di pecorino grattugiato,pecorino,2 cucchiai,pecorino,pecorino,519
370,1 kg trippa (croce e centopelle),1 kg trippa,trippa,1 kg,trippa,trippa,21
371,400 gr. di pomodori pelati,400 gr. di pomodori pelati,pomodori pelati,400 gr,pomodori pelati,pomodori pelati,196
372,30 gr. di burro,30 gr. di burro,burro,30 gr .,burro,burro,4606
373,alloro (facoltativo),alloro,alloro,,alloro,alloro,451
374,parmigiano grattugiato,parmigiano grattugiato,parmigiano,,parmigiano,parmigiano reggiano dop,1291
375,un bicchiere di vino bianco secco,un bicchiere di vino bianco secco,vino bianco secco,un bicchiere,vino bianco secco,vino bianco,1177
376,brodo di carne: circa mezzo litro,brodo di carne: circa mezzo litro,brodo di carne,,brodo di carne,brodo di carne,219
377,8 fette di pane toscano,8 fette di pane toscano,pane toscano,8 fette,pane toscano,pane toscano,26
378,100 gr. di milza di vitello o di maiale,100 gr. di milza di vitello,carne di bovino,100 gr .,carne,carne di bovino,492
379,100 gr. di fegatini di pollo,100 gr. di fegatini di pollo,fegatini di pollo,100 gr .,fegatini di pollo,fegatini di pollo,39
380,"70 gr. di rigaglie (creste, stomaco, cuore) (facoltativo)",70 gr. di rigaglie,rigaglie di pollo,70 gr .,rigaglie di pollo,carne di pollo,350
381,30 gr. di capperi,30 gr. di capperi,capperi,30 gr .,capperi,capperi,366
382,conserva di pomodoro (facoltativo),conserva di pomodoro,conserva di pomodoro,,conserva di pomodoro,passata di pomodoro,374
383,vino bianco secco,vino bianco secco,vino bianco secco,,vino bianco secco,vino bianco,1177
384,300 g di farina di segale,300 g di farina di segale,farina di segale,300 g,farina di segale,farina di segale,11
385,120 g di fontina,120 g di fontina,fontina,120 g,fontina,fontina,155
386,100 g di burro,100 g di burro,burro,100 g,burro,burro,4606
387,200 g di pane integrale di segale,200 g di pane integrale di segale,pane integrale di segale,200 g,pane,pane integrale,43
388,120 g di farina 00,120 g di farina 00,farina,120 g,farina,farina,2121
389,250 g di grana trentino grattugiato,250 g di grana trentino grattugiato,grana,250 g,grana,grana padano dop,591
390,2 mazzetti di basilico,2 mazzetti di basilico,basilico,2 mazzetti,basilico,basilico,944
391,400 g di pomodori pelati,400 g di pomodori pelati,pomodori pelati,400 g,pomodori pelati,pomodori pelati,196
392,5 cucchiai di olio extravergine d'oliva,5 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,5 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
393,400 g di fontina,400 g di fontina,fontina,400 g,fontina,fontina,155
394,40 g di burro,40 g di burro,burro,40 g,burro,burro,4606
395,latte,latte,latte,,latte,latte,2242
396,crostini di pane,crostini di pane,pane,,pane,pane,363
397,4 tuorli,4 tuorli,tuorli,4,tuorli,tuorli,1385
398,1 kg di lombo di maiale,1 kg di lombo di maiale,lombo di maiale,1 kg,lombo di maiale,lonza di maiale,60
399,semi di finocchio,semi di finocchio,semi di finocchio,,semi di finocchio,semi di finocchio,76
400,500 g di farina manitoba,500 g di farina manitoba,farina manitoba,500 g,farina manitoba,farina manitoba,233
401,1 panetto di lievito di birra,1 panetto di lievito di birra,lievito di birra,1 panetto,lievito di birra,lievito di birra,364
402,mezzo bicchiere di olio extravergine d’oliva,mezzo bicchiere di olio extravergine d’oliva,olio extravergine d'oliva,mezzo bicchiere,olio extravergine d'oliva,olio extravergine d'oliva,4337
403,120 g di pecorino grattugiato,120 g di pecorino grattugiato,pecorino,120 g,pecorino,pecorino,519
404,120 g di grana padano grattugiato,120 g di grana padano grattugiato,grana padano,120 g,grana padano,grana padano dop,591
405,8 capesante,8 capesante,capesante,8,capesante,capesante,50
406,1 rametto di aneto,1 rametto di aneto,aneto,1 rametto,aneto,aneto,105
407,150 g di mirtilli,150 g di mirtilli,mirtilli,150 g,mirtilli,mirtilli,144
408,100 d di ribes rosso,100 d di ribes rosso,ribes,100 d,ribes,ribes,85
409,700 g di cinghiale,700 g di cinghiale,cinghiale,700 g,cinghiale,carne di cinghiale,9
410,1/2 l di vini rosso corposo,1/2 l di vini rosso corposo,vino rosso,1/2 l,vino rosso,vino rosso,219
411,1 ciuffo di salvia,1 ciuffo di salvia,salvia,1 ciuffo,salvia,salvia,484
412,2 chiodi di garofano,2 chiodi di garofano,chiodi di garofano,2,chiodi di garofano,chiodi di garofano,180
413,100 g di funghi porcini freschi,100 g di funghi porcini freschi,funghi porcini,100 g,funghi porcini,funghi porcini,107
414,polenta (facoltativo),polenta,polenta,,polenta,polenta,26
415,750 g di patate,750 g di patate,patate,750 g,patate,patate,1000
416,2 panini raffermi,2 panini raffermi,panini,2,panini,panini,78
417,150 g di speck,150 g di speck,speck,150 g,speck,speck,139
418,80 g di burro,80 g di burro,burro,80 g,burro,burro,4606
419,2 dl di latte,2 dl di latte,latte,2 dl,latte,latte,2242
420,20 g di grana trentino grattugiato,20 g di grana trentino grattugiato,grana,20 g,grana,grana padano dop,591
421,20 g di semolino,20 g di semolino,semolino,20 g,semolino,semolino,56
422,2 tuorli,2 tuorli,tuorli,2,tuorli,tuorli,1385
423,800 g di zucca,800 g di zucca,zucca,800 g,zucca,zucca,226
424,500 g di funghi porcini,500 g di funghi porcini,funghi porcini,500 g,funghi porcini,funghi porcini,107
425,400 g di farina di mais,400 g di farina di mais,farina di mais,400 g,farina di mais,farina di mais,144
426,"2,5 dl di olio extravergine d'oliva","2,5 dl di olio extravergine d'oliva",olio extravergine d'oliva,"2,5 dl",olio extravergine d'oliva,olio extravergine d'oliva,4337
427,100 g di grana grattugiato,100 g di grana grattugiato,grana,100 g,grana,grana padano dop,591
428,800 g di arista di maiale in un pezzo,800 g di arista di maiale,arista di maiale,800 g,arista,arista,13
429,60 g di pancetta affumicata,60 g di pancetta affumicata,pancetta affumicata,60 g,pancetta affumicata,pancetta affumicata,155
430,4 foglie di cavolo nero o verza,4 foglie di cavolo nero,cavolo nero,4 foglie,cavolo nero,cavolo nero,44
431,1 melagrana,1 melagrana,melagrana,1,melagrana,melagrana,50
432,50 g di burro,50 g di burro,burro,50 g,burro,burro,4606
433,1 bicchiere di vino bianco secco,1 bicchiere di vino bianco secco,vino bianco secco,1 bicchiere,vino bianco secco,vino bianco,1177
434,1 kg di asparagi di bassano,1 kg di asparagi di bassano,asparagi,1 kg,asparagi,asparagi,192
435,4 tuorli sodi,4 tuorli sodi,tuorli,4,tuorli,tuorli,1385
436,aceto di vino bianco o succo di limone,aceto di vino bianco,aceto di vino bianco,,aceto di vino bianco,aceto,528
437,5 cucciai di olio extravergine d'oliva,5 cucciai di olio extravergine d'oliva,olio extravergine d'oliva,5 cucciai,olio extravergine d'oliva,olio extravergine d'oliva,4337
438,450 g di pane nero (di grano),450 g di pane nero,pane nero,450 g,pane nero,pane nero,14
439,320 g di zucchero,320 g di zucchero,zucchero,320 g,zucchero,zucchero,4949
440,10 dl di vino rosso secco,10 dl di vino rosso secco,vino rosso secco,10 dl,vino rosso secco,vino rosso,219
441,1 pizzico di cannella in polvere,1 pizzico di cannella,cannella,1 pizzico,cannella,cannella,499
442,6 chiodi di garofano,6 chiodi di garofano,chiodi di garofano,6,chiodi di garofano,chiodi di garofano,180
443,100 g di olive nere,100 g di olive nere,olive nere,100 g,olive nere,olive nere,244
444,scorza di mezz'arancia,scorza di mezz'arancia,scorza d'arancia,,scorza d'arancia,buccia d'arancia,187
445,400 g di cipolle bianche,400 g di cipolle bianche,cipolle bianche,400 g,cipolle bianche,cipolla bianca,310
446,500 g di fegato di vitello a fette,500 g di fegato di vitello,vitello,500 g,vitello,carne di bovino,492
447,1 ciuffetto di prezzemolo tritato,1 ciuffetto di prezzemolo tritato,prezzemolo,1,prezzemolo,prezzemolo,1668
448,600 gr di stoccafisso già ammollato,600 gr di stoccafisso,stoccafisso,600 gr,stoccafisso,stoccafisso,18
449,1 dl di olio extravergine d'oliva,1 dl di olio extravergine d'oliva,olio extravergine d'oliva,1 dl,olio extravergine d'oliva,olio extravergine d'oliva,4337
450,1 foglia d'alloro,1 foglia d'alloro,alloro,1 foglia,alloro,alloro,451
451,"1,5 dl di vino bianco secco","1,5 dl di vino bianco secco",vino bianco secco,"1,5 dl",vino bianco secco,vino bianco,1177
452,"1 anatra selvatica da 1,5 kg","1 anatra selvatica da 1,5 kg",anatra selvatica,1,anatra,carne di anatra,27
453,500 g di pomodori da sugo maturi,500 g di pomodori da sugo maturi,pomodori,500 g,pomodori,pomodori,634
454,"150 g di prosciutto cotto, in una sola fetta","150 g di prosciutto cotto,",prosciutto cotto,150 g,prosciutto cotto,prosciutto cotto,324
455,20 ml di brodo vegetale,20 ml di brodo vegetale,brodo vegetale,20 ml,brodo vegetale,brodo vegetale,571
456,1 ciuffetto di basilico,1 ciuffetto di basilico,basilico,1,basilico,basilico,944
457,70 g di burro,70 g di burro,burro,70 g,burro,burro,4606
458,3 foglie d'alloro,3 foglie d'alloro,alloro,3 foglie,alloro,alloro,451
459,600 g di fegato di vitellone,600 g di fegato di vitellone,fegato di vitello,600 g,fegato di vitello,fegato di vitello,10
460,1 cucchiaio di farina,1 cucchiaio di farina,farina,1 cucchiaio,farina,farina,2121
461,1/2 bicchiere di vino rosso,1/2 bicchiere di vino rosso,vino rosso,1/2 bicchiere,vino rosso,vino rosso,219
462,1 pizzico di noce moscata,1 pizzico di noce moscata,noce moscata,1 pizzico,noce moscata,noce moscata,356
463,300 gr di mandorle dolci,300 gr di mandorle dolci,mandorle dolci,300 gr,mandorle,mandorle,415
464,100 gr di cioccolato,100 gr di cioccolato,cioccolato,100 gr,cioccolato,cioccolato,105
465,1 l di mosto cotto,1 l di mosto cotto,mosto cotto,1 l,mosto cotto,mosto d'uva,3
466,250 gr di olio d'oliva,250 gr di olio d'oliva,olio d'oliva,250 gr,olio d'oliva,olio d'oliva,122
467,250 gr di vino bianco,250 gr di vino bianco,vino bianco,250 gr,vino bianco,vino bianco,1177
468,100 gr di zucchero,100 gr di zucchero,zucchero,100 gr,zucchero,zucchero,4949
469,500 gr di purè di castagne,500 gr di purè di castagne,purè di castagne,500 gr,purè di castagne,castagne,56
470,1/2 bicchiere di rum,1/2 bicchiere di rum,rum,1/2 bicchiere,rum,rum,218
471,1 bicchiere d'olio,1 bicchiere d'olio,olio,1 bicchiere,olio,olio,2191
472,cannella,cannella,cannella,,cannella,cannella,499
473,400g farina di grano duro,400g farina di grano duro,farina di grano duro,400 g,farina di grano duro,farina,2121
474,200g di salsiccia,200g di salsiccia,salsiccia,200 g,salsiccia,salsiccia,225
475,50g di uva passa,50g di uva passa,uva passa,50 g,uva passa,uva passa,87
476,300 gr di carne macinata,300 gr di carne macinata,carne macinata,300 gr,carne macinata,macinato,13
477,20 gr di burro,20 gr di burro,burro,20 gr,burro,burro,4606
478,3 cuchiai di olio extravergine d'oliva,3 cuchiai di olio extravergine d'oliva,olio extravergine d'oliva,3 cuchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
479,3 coste di cardo,3 coste di cardo,coste di cardo,3,coste di cardo,coste,2
480,300 gr di pomodori (o polpa di pomodoro),300 gr di pomodori,pomodori,300 gr,pomodori,pomodori,634
481,sale pepe,sale pepe,sale pepe,,sale,sale,9693
482,1 kg di palombo o razza,1 kg di palombo,palombo,1 kg,palombo,palombo,6
483,75 cl di aceto bianco,75 cl di aceto bianco,aceto bianco,75 cl,aceto bianco,aceto,528
484,zafferano,zafferano,zafferano,,zafferano,zafferano,177
485,8 cipolle rosse di tropea,8 cipolle rosse di tropea,cipolle rosse di tropea,8,cipolle rosse di tropea,cipolla di tropea,103
486,pan grattato,pan grattato,grattato,pan,grattato,grattato,1
487,50g di pecorino grattugiato,50g di pecorino grattugiato,pecorino,50 g,pecorino,pecorino,519
488,100g di farina,100g di farina,farina,100 g,farina,farina,2121
489,500 gr di farina,500 gr di farina,farina,500 gr,farina,farina,2121
490,100 gr di strutto,100 gr di strutto,strutto,100 gr,strutto,strutto,134
491,150 gr di zucchero,150 gr di zucchero,zucchero,150 gr,zucchero,zucchero,4949
492,250 gr di mandorle,250 gr di mandorle,mandorle,250 gr,mandorle,mandorle,415
493,500 gr di marmellata di uva,500 gr di marmellata di uva,marmellata di uva,500 gr,marmellata,marmellata,46
494,50 gr di uva sultanina,50 gr di uva sultanina,uva sultanina,50 gr,uva sultanina,uva passa,87
495,20 gr di cannella,20 gr di cannella,cannella,20 gr,cannella,cannella,499
496,200 gr di cacao,200 gr di cacao,cacao,200 gr,cacao,cacao amaro,524
497,un bicchiere di liquore strega,un bicchiere di liquore strega,liquore strega,un bicchiere,liquore strega,liquore strega,8
498,50 gr di zucchero a velo,50 gr di zucchero,zucchero,50 gr,zucchero,zucchero,4949
499,400 gr di bucatini,400 gr di bucatini,bucatini,400 gr,bucatini,bucatini,26
500,finocchietto selvatico,finocchietto selvatico,finocchietto selvatico,,finocchietto selvatico,finocchietto selvatico,96
