,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
238,peperoncino fresco,peperoncino fresco,peperoncino,,peperoncino,peperoncino,peperoncino,468,,,,,
239,400 g di spaghetti,400 g di spaghetti,spaghetti,400 g,spaghetti,spaghetti,spaghetti,201,,,,,
240,300 g di piselli già puliti,300 g di piselli,piselli,300 g,piselli,piselli,piselli,302,,,,,
241,3 uova,3 uova,uova,3,uova,uova,uova,3872,,,,,
242,30 g di parmigiano reggiano grattugiato,30 g di parmigiano reggiano grattugiato,parmigiano reggiano,30 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
243,40 g di pistacchi tostati tritati,40 g di pistacchi tostati tritati,pistacchi tostati,40 g,pistacchi tostati,pistacchi tostati,pistacchi tostati,11,,,,,
244,1 bustina di zafferano in polvere,1 bustina di zafferano,zafferano,1 bustina,zafferano,zafferano,zafferano,177,,,,,
245,20 g di burro,20 g di burro,burro,20 g,burro,burro,burro,4606,,,,,
246,4 calamari grandi (da 15 cm circa),4 calamari grandi,calamari,4,calamari,calamari,calamari,102,,,,,
247,8 filetti di acciuga,8 filetti di acciuga,filetti di acciuga,8,filetti di acciuga,filetti di acciuga,acciughe,403,,,,,
248,2 tazze di mollica di pane fresco,2 tazze di mollica di pane fresco,mollica di pane,2 tazze,mollica di pane,mollica di pane,mollica di pane,98,,,,,
249,6 cucchiai di prezzemolo tritato,6 cucchiai di prezzemolo tritato,prezzemolo,6 cucchiai,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
250,il succo di 1 limone,il succo di 1 limone,succo limone,1,succo di limone,succo di limone,succo di limone,599,,,,,
251,100 g di burro freddo,100 g di burro freddo,burro,100 g,burro,burro,burro,4606,,,,,
252,80 g di zucchero semolato,80 g di zucchero semolato,zucchero semolato,80 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
253,la scorza di 1 limone,la scorza di 1 limone,limone,1,limone,limone,limone,1394,,,,,
254,1 pizzico di sale,1 pizzico di sale,sale,1 pizzico,sale,sale,sale,9693,,,,,
255,1 confezione di pasta sfoglia rettangolare,1 confezione di pasta sfoglia rettangolare,pasta sfoglia,1 confezione,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
256,250 g di ricotta vaccina,250 g di ricotta vaccina,ricotta vaccina,250 g,ricotta vaccina,ricotta vaccina,ricotta vaccina,258,,,,,
257,100 g di robiola,100 g di robiola,robiola,100 g,robiola,robiola,robiola,98,,,,,
258,150 g di salmone affumicato,150 g di salmone affumicato,salmone affumicato,150 g,salmone affumicato,salmone affumicato,salmone affumicato,121,,,,,
259,erba cipollina,erba cipollina,erba cipollina,,erba cipollina,erba cipollina,erba cipollina,367,,,,,
260,1 tuorlo,1 tuorlo,tuorlo,1,tuorlo,tuorlo,tuorli,1385,,,,,
261,pepe rosa in grani,pepe rosa,pepe rosa,,pepe rosa,pepe rosa,pepe,5844,,,,,
262,pepe nero macinato,pepe nero macinato,pepe nero macinato,,pepe nero macinato,pepe nero macinato,pepe,5844,,,,,
263,200 g di biscotti tipo Digestive,200 g di biscotti tipo digestive,biscotti tipo digestive,200 g,biscotti tipo digestive,biscotti tipo digestive,biscotti digestive,69,,,,,
264,90 g di burro fuso,90 g di burro fuso,burro,90 g,burro,burro,burro,4606,,,,,
265,250 g di ricotta,250 g di ricotta,ricotta,250 g,ricotta,ricotta,ricotta,324,,,,,
266,170 g di yogurt greco,170 g di yogurt greco,yogurt greco,170 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
267,200 ml di panna fresca,200 ml di panna fresca,panna fresca,200 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
268,250 g di more,250 g di more,more,250 g,more,more,more,68,,,,,
269,4 cucchiai di zucchero a velo,4 cucchiai di zucchero,zucchero,4 cucchiai,zucchero,zucchero,zucchero,4949,,,,,
270,la scorza grattugiata di 1 limone,la scorza grattugiata di 1 limone,limone,1,limone,limone,limone,1394,,,,,
271,4 fogli di gelatina (8 g),4 fogli di gelatina,di gelatina,4 fogli,gelatina,gelatina,gelatina,429,,,,,
272,125 g di more,125 g di more,more,125 g,more,more,more,68,,,,,
273,fiori eduli,fiori eduli,fiori eduli,,fiori eduli,fiori eduli,fiori eduli,39,,,,,
274,2 patate grandi a pasta gialla o rossa,2 patate grandi,patate,2,patate,patate,patate,1000,,,,,
275,olio per friggere (arachide o vinacciolo),olio,olio,,olio,olio,olio,2191,,,,,
276,2 rotoli di pasta brisée,2 rotoli di pasta brisée,pasta brisée,2 rotoli,pasta brisée,pasta brisée,pasta brisè,60,,,,,
277,250 g di cioccolato bianco,250 g di cioccolato bianco,cioccolato bianco,250 g,cioccolato bianco,cioccolato bianco,cioccolato bianco,160,,,,,
278,180 ml di panna fresca,180 ml di panna fresca,panna fresca,180 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
279,100 g di pasta di pistacchio,100 g di pasta di pistacchio,pasta di pistacchio,100 g,pasta di pistacchio,pasta,crema di pistacchi,18,,,,,
280,mandorle a lamelle,mandorle,mandorle,,mandorle,mandorle,mandorle,415,,,,,
281,1/2 litro di latte intero,1/2 litro di latte intero,latte intero,1/2 litro,latte,latte,latte,2242,,,,,
282,50 g di panna fresca,50 g di panna fresca,panna fresca,50 g,panna fresca,panna fresca,panna fresca,1860,,,,,
283,7 tuorli,7 tuorli,tuorli,7,tuorli,tuorli,tuorli,1385,,,,,
284,20 g di amido,20 g di amido,amido,20 g,amido,amido,amido di mais,322,,,,,
285,180 g di zucchero,180 g di zucchero,zucchero,180 g,zucchero,zucchero,zucchero,4949,,,,,
286,20 g di cacao amaro,20 g di cacao amaro,cacao amaro,20 g,cacao amaro,cacao amaro,cacao amaro,524,,,,,
287,70 g di cioccolato fondente,70 g di cioccolato fondente,cioccolato fondente,70 g,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
288,50 g di burro,50 g di burro,burro,50 g,burro,burro,burro,4606,,,,,
289,500 g di cipolline borettane,500 g di cipolline borettane,cipolline borettane,500 g,cipolline borettane,cipolline,cipolle borettane,103,,,,,
290,20 g di olio extravergine di oliva,20 g di olio extravergine di oliva,olio extravergine di oliva,20 g,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
291,35 g di zucchero semolato,35 g di zucchero semolato,zucchero semolato,35 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
292,500 ml di acqua,500 ml di acqua,acqua,500 ml,acqua,acqua,acqua,1976,,,,,
293,40 g di aceto di mele,40 g di aceto di mele,aceto di mele,40 g,aceto di mele,aceto di mele,aceto di mele,91,,,,,
294,350 g di farina manitoba,350 g di farina manitoba,farina manitoba,350 g,farina manitoba,farina manitoba,farina manitoba,233,,,,,
295,150 g di farina 0,150 g di farina 0,farina 0,150 g,farina 0,farina 0,farina 0,181,,,,,
296,200 ml di latte,200 ml di latte,latte,200 ml,latte,latte,latte,2242,,,,,
297,80 g di yogurt intero al naturale,80 g di yogurt intero al naturale,yogurt intero al naturale,80 g,yogurt al naturale,yogurt al naturale,yogurt bianco,121,,,,,
298,1 cucchiaino di sale,1 cucchiaino di sale,sale,1 cucchiaino,sale,sale,sale,9693,,,,,
299,½ cucchiaino di zucchero semolato,1/2 cucchiaino di zucchero semolato,zucchero semolato,1/2 cucchiaino,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
300,7 g di lievito di birra disidratato,7 g di lievito di birra disidratato,lievito di birra disidratato,7 g,lievito di birra disidratato,lievito di birra disidratato,lievito di birra,364,,,,,
301,2 uova a temperatura ambiente,2 uova,uova,2,uova,uova,uova,3872,,,,,
302,200 g di salame a dadini,200 g di salame,salame,200 g,salame,salame,salame,59,,,,,
303,200 g di provola a dadini,200 g di provola,provola,200 g,provola,provola,provola,62,,,,,
304,1 cucchiaio di latte,1 cucchiaio di latte,latte,1 cucchiaio,latte,latte,latte,2242,,,,,
305,semi di chia,semi di chia,semi di chia,,semi di chia,semi di chia,semi,107,,,,,
306,300 g di fagiolini,300 g di fagiolini,fagiolini,300 g,fagiolini,fagiolini,fagiolini,153,,,,,
307,pangrattato fine e grosso,pangrattato fine e grosso,fine,,,,,,,,,,
308,500 g di zucca,500 g di zucca,zucca,500 g,zucca,zucca,zucca,226,,,,,
309,110 g di parmigiano reggiano grattugiato,110 g di parmigiano reggiano grattugiato,parmigiano reggiano,110 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
310,4 uova,4 uova,uova,4,uova,uova,uova,3872,,,,,
311,1 cucchiaio di panna,1 cucchiaio di panna,panna,1 cucchiaio,panna,panna,panna fresca,1860,,,,,
312,rosmarino,rosmarino,rosmarino,,rosmarino,rosmarino,rosmarino,850,,,,,
313,4 cucchiai di parmigiano reggiano grattugiato,4 cucchiai di parmigiano reggiano grattugiato,parmigiano reggiano,4 cucchiai,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
314,480 g di farina per Pizza e Focaccia,480 g di farina,farina,480 g,farina,farina,farina,2121,,,,,
315,340 ml di acqua,340 ml di acqua,acqua,340 ml,acqua,acqua,acqua,1976,,,,,
316,40 ml di olio extravergine di oliva,40 ml di olio extravergine di oliva,olio extravergine di oliva,40 ml,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
317,1 cucchiaino di zucchero,1 cucchiaino di zucchero,zucchero,1 cucchiaino,zucchero,zucchero,zucchero,4949,,,,,
318,2 cucchiaini di sale,2 cucchiaini di sale,sale,2 cucchiaini,sale,sale,sale,9693,,,,,
319,200 g di stracchino,200 g di stracchino,stracchino,200 g,stracchino,stracchino,stracchino,47,,,,,
320,150 g di prosciutto crudo di Parma,150 g di prosciutto crudo di parma,prosciutto crudo di parma,150 g,prosciutto crudo di parma,prosciutto,prosciutto crudo,182,,,,,
321,1 cipolla rossa,1 cipolla rossa,cipolla,1,cipolla,cipolla,cipolla,1415,,,,,
322,sale di Maldon,sale di maldon,sale di maldon,,sale di maldon,sale di maldon,sale,9693,,,,,
323,timo fresco,timo fresco,timo,,timo,timo,timo,874,,,,,
324,110 g di burro fuso,110 g di burro fuso,burro,110 g,burro,burro,burro,4606,,,,,
325,130 g di zucchero semolato,130 g di zucchero semolato,zucchero semolato,130 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
326,1/2 bacca di vaniglia,1/2 bacca di vaniglia,vaniglia,1/2 bacca,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
327,la scorza grattugiata di 1/2 limone non trattato,la scorza grattugiata di 1/2 limone,limone,1/2,limone,limone,limone,1394,,,,,
328,60 ml di latte intero,60 ml di latte intero,latte intero,60 ml,latte,latte,latte,2242,,,,,
329,1 cucchiaino e 1/2 di lievito in polvere per dolci,1 cucchiaino e 1/2 di lievito,lievito,1 cucchiaino e 1/2,lievito,lievito,lievito,994,,,,,
330,300 g di zucchero a velo,300 g di zucchero,zucchero,300 g,zucchero,zucchero,zucchero,4949,,,,,
331,150 g di burro morbido,150 g di burro morbido,burro,150 g,burro,burro,burro,4606,,,,,
332,20 fragole grandi,20 fragole grandi,fragole,20,fragole,fragole,fragole,249,,,,,
333,200 g di cioccolato bianco,200 g di cioccolato bianco,cioccolato bianco,200 g,cioccolato bianco,cioccolato bianco,cioccolato bianco,160,,,,,
334,50 g di pistacchi di Bronte tritati finemente,50 g di pistacchi di bronte tritati finemente,pistacchi di bronte,50 g,pistacchi di bronte,pistacchi di bronte,pistacchi di bronte,8,,,,,
335,600 g di farina 0,600 g di farina 0,farina 0,600 g,farina 0,farina 0,farina 0,181,,,,,
336,400 g di acqua,400 g di acqua,acqua,400 g,acqua,acqua,acqua,1976,,,,,
337,24 g di lievito di birra,24 g di lievito di birra,lievito di birra,24 g,lievito di birra,lievito di birra,lievito di birra,364,,,,,
338,2 cucchiaini di miele,2 cucchiaini di miele,miele,2 cucchiaini,miele,miele,miele,335,,,,,
339,100 g di gherigli di noci,100 g di gherigli di noci,noci,100 g,noci,noci,noci,222,,,,,
340,100 g di olio extravergine di oliva,100 g di olio extravergine di oliva,olio extravergine di oliva,100 g,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
341,100 g di olive,100 g di olive,olive,100 g,olive,olive,olive,72,,,,,
342,3OO gr farina 00,3oo gr farina 00,3oo farina,gr,farina,farina,farina,2121,,,,,
343,150 gr di burro freddo,150 gr di burro freddo,burro,150 gr,burro,burro,burro,4606,,,,,
344,110 ml di acqua fredda,110 ml di acqua fredda,acqua,110 ml,acqua,acqua,acqua,1976,,,,,
345,1 presa di sale,1 presa di sale,di sale,1 presa,sale,sale,sale,9693,,,,,
346,PER LA FARCIA\u2028,per la farcia,per la farcia,,per la farcia,pera,per la farcia,1,,,,,
347,4 mele pinova,4 mele pinova,mele pinova,4,mele pinova,mele,mele,204,,,,,
348,\u2028 40 gr di zucchero di canna,40 gr di zucchero di canna,zucchero di canna,40 gr,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
349,40 gr di burro,40 gr di burro,burro,40 gr,burro,burro,burro,4606,,,,,
350,1 cucchiaino di cannella,1 cucchiaino di cannella,cannella,1 cucchiaino,cannella,cannella,cannella,499,,,,,
351,\u2028 1 limone,1 limone,limone,1,limone,limone,limone,1394,,,,,
352,260 g di zucchero semolato,260 g di zucchero semolato,zucchero semolato,260 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
353,120 g di burro,120 g di burro,burro,120 g,burro,burro,burro,4606,,,,,
354,\u2028200 g di panna fresca liquida,200 g di panna fresca liquida,panna fresca liquida,200 g,panna fresca liquida,panna fresca liquida,panna fresca,1860,,,,,
355,900 g di patate,900 g di patate,patate,900 g,patate,patate,patate,1000,,,,,
356,300 g di farina di riso,300 g di farina di riso,farina di riso,300 g,farina di riso,farina di riso,farina di riso,103,,,,,
357,3 uova intere,3 uova intere,uova intere,3,uova intere,uova intere,uova,3872,,,,,
358,2 melanzane lunghe,2 melanzane lunghe,melanzane lunghe,2,melanzane lunghe,melanzane lunghe,melanzane lunghe,18,,,,,
359,80 g di pistacchi,80 g di pistacchi,pistacchi,80 g,pistacchi,pistacchi,pistacchi,193,,,,,
360,80 g di pangrattato,80 g di pangrattato,pangrattato,80 g,pangrattato,pangrattato,pangrattato,834,,,,,
361,200 g di pomodorini ciliegia,200 g di pomodorini ciliegia,pomodorini ciliegia,200 g,pomodorini ciliegia,pomodorini ciliegia,pomodorini ciliegino,288,,,,,
362,1 mazzetto di erba cipollina,1 mazzetto di erba cipollina,erba cipollina,1 mazzetto,erba cipollina,erba cipollina,erba cipollina,367,,,,,
363,1 melanzana viola,1 melanzana viola,melanzana viola,1,melanzana viola,melanzana,melanzane,295,,,,,
364,150 g di prosciutto cotto a fette,150 g di prosciutto cotto,prosciutto cotto,150 g,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
365,150 g di provola,150 g di provola,provola,150 g,provola,provola,provola,62,,,,,
366,200 g di passata di pomodoro,200 g di passata di pomodoro,passata di pomodoro,200 g,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
367,parmigiano reggiano grattugiato,parmigiano reggiano grattugiato,parmigiano reggiano,,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
368,1 cavolfiore piccolo,1 cavolfiore piccolo,cavolfiore,1,cavolfiore,cavolfiore,cavolfiore,101,,,,,
369,150 g di olive taggiasche,150 g di olive taggiasche,olive taggiasche,150 g,olive taggiasche,olive taggiasche,olive taggiasche,106,,,,,
370,150 g di olive verdi,150 g di olive verdi,olive verdi,150 g,olive verdi,olive verdi,olive verdi,119,,,,,
371,200 g di peperoni sott'olio,200 g di peperoni sott'olio,peperoni sott' olio,200 g,peperoni sott'olio,peperoni,peperoni,612,,,,,
372,50 g di capperi,50 g di capperi,capperi,50 g,capperi,capperi,capperi,366,,,,,
373,200 g di cipolle borettane sott'aceto,200 g di cipolle borettane sott'aceto,cipolle borettane sott' aceto,200 g,cipolle borettane sott'aceto,cipolle,cipolle borettane,103,,,,,
374,1 filetto di baccalà ammollato e dissalato (circa 300 g),1 filetto di baccalà ammollato e dissalato,filetto di baccalà,1,filetto di baccalà,filetto di baccalà,baccalà,94,,,,,
375,un cucchiaio di aceto,un cucchiaio di aceto,aceto,un cucchiaio,aceto,aceto,aceto,528,,,,,
376,12 ostriche,12 ostriche,ostriche,12,ostriche,ostriche,ostriche,13,,,,,
377,6 fette di pan brioche,6 fette di pan brioche,pan brioche,6 fette,pan brioche,pan di spagna,pan brioche,7,,,,,
378,1 cucchiaino di curry verde thailandese,1 cucchiaino di curry verde thailandese,curry verde thailandese,1 cucchiaino,curry verde thailandese,curry,curry,89,,,,,
379,2 pompelmi rosa bio,2 pompelmi rosa bio,pompelmi rosa,2,pompelmi rosa,pompelmi rosa,pompelmo rosa,21,,,,,
380,30 g di burro,30 g di burro,burro,30 g,burro,burro,burro,4606,,,,,
381,menta bergamotto,menta bergamotto,menta,,menta,menta,menta,533,,,,,
382,cristalli di sale blu di Persia per decorare,cristalli di sale blu di persia,cristalli di sale blu di persia,,cristalli di sale blu di persia,cristalli di sale blu di persia,sale,9693,,,,,
383,90 g di miglio decorticato,90 g di miglio decorticato,decorticato,90 g,,,,,,,,,
384,60g di spinaci o misticanza,60g di spinaci o misticanza,spinaci,60 g,spinaci,spinaci,spinaci,245,,,,,
385,50 g di rucola,50 g di rucola,rucola,50 g,rucola,rucola,rucola,133,,,,,
386,6-8 fichi,6-8 fichi,fichi,6 - 8,fichi,fichi,fichi,82,,,,,
387,30 g di noci,30 g di noci,noci,30 g,noci,noci,noci,222,,,,,
388,20 g di olio extra vergine di oliva,20 g di olio extra vergine di oliva,olio extra vergine di oliva,20 g,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
389,15 g di aceto balsamico,15 g di aceto balsamico,aceto balsamico,15 g,aceto balsamico,aceto balsamico,aceto balsamico,172,,,,,
390,1/2 cucchiaino di senape di Dijon,1/2 cucchiaino di senape di dijon,senape di dijon,1/2 cucchiaino,senape di dijon,senape,senape di digione,29,,,,,
391,1 cucchiaino di sciroppo di riso (o acero o agave),1 cucchiaino di sciroppo di riso,sciroppo di riso,1 cucchiaino,sciroppo di riso,sciroppo alla fragola,sciroppo,2,,,,,
392,sale integrale,sale integrale,sale integrale,,sale integrale,sale integrale,sale,9693,,,,,
393,600 g di melanzane,600 g di melanzane,melanzane,600 g,melanzane,melanzane,melanzane,295,,,,,
394,3 spicchi d’aglio,3 spicchi d'aglio,d' aglio,3 spicchi,aglio,aglio,aglio,2572,,,,,
395,10 foglie di menta,10 foglie di menta,menta,10 foglie,menta,menta,menta,533,,,,,
396,capperi,capperi,capperi,,capperi,capperi,capperi,366,,,,,
397,6-8 melanzane tonde viola piccole,6-8 melanzane tonde viola piccole,melanzane tonde,6 - 8,melanzane tonde,melanzane tonde,melanzane tonde,25,,,,,
398,2 spicchi d'aglio,2 spicchi d'aglio,d' aglio,2 spicchi,aglio,aglio,aglio,2572,,,,,
399,100 g di caciocavallo,100 g di caciocavallo,caciocavallo,100 g,caciocavallo,caciocavallo,caciocavallo,87,,,,,
400,400 g di polpa di pomodoro,400 g di polpa di pomodoro,polpa di pomodoro,400 g,pomodoro,pomodoro,pomodori,634,,,,,
401,60 g di zucchero semolato,60 g di zucchero semolato,zucchero semolato,60 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
402,400 ml di panna fresca,400 ml di panna fresca,panna fresca,400 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
403,2 fogli di gelatina alimentare (4 g),2 fogli di gelatina alimentare,fogli di gelatina alimentare,2,gelatina alimentare,gelatina alimentare,gelatina,429,,,,,
404,10-12 fragole fresche per decorazione,10-12 fragole fresche,fragole,10 - 12,fragole,fragole,fragole,249,,,,,
405,180 g di yogurt greco,180 g di yogurt greco,yogurt greco,180 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
406,130 g di lamponi freschi,130 g di lamponi freschi,lamponi,130 g,lamponi,lamponi,lamponi,214,,,,,
407,140 ml di panna fresca,140 ml di panna fresca,panna fresca,140 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
408,70 g zucchero a velo,70 g zucchero,zucchero,70 g,zucchero,zucchero,zucchero,4949,,,,,
